Project,,Project Description,,Project Link,,Forks,,Stars,,ISSUE ID,,ISSUE Description,,ISSUE Create Time,,Fix time,,Fix vision,,Commit ID,
carnellj/spmia-chapter5,,"Welcome to Spring Microservices in Action, Chapter 5. Chapter 5 does not introduce any new services. Instead it focuses on how to use Spring Cloud and Netflix's Hystrix project to help protect service clients from failing or poorly behaving services. This chapter will introduce you to the concepts of fail-fast service calls, bulkheads and fallbacks for when a client call fails.

",,https://github.com/carnellj/spmia-chapter5,,99,,33,,#4,,[Security Bug] ThreadLocal Context Pollution: Missing cleanup in UserContextHolder causes cross-request identity leakage,,2026.2.21,,N/A,,N/A,,N/A,
hazelcast/hazelcast-code-samples,,"The folder /code-samples in your package contains an extensive collection of code samples which you can use to learn how to use Hazelcast features. From distributed primitives to Service Provider Interface (SPI), you can see Hazelcast in action readily.",,https://github.com/hazelcast/hazelcast-code-samples,,604,,559,,#763,,[Security Bug] ThreadLocal Context Pollution: Missing cleanup in UserContextHolder causes cross-request identity leakage,,2026.2.19,,N/A,,N/A,,N/A,
patrickfav/armadillo,,"A shared preference implementation for secret data providing confidentiality, integrity and authenticity. Per default uses AES-GCM, BCrypt and HKDF as cryptographic primitives.",,https://github.com/patrickfav/armadillo,,53,,308,,#58,,[BUG] ClassLoader Leak in AesGcmEncryption due to uncleaned ThreadLocal ,,2026.2.21,,N/A,,N/A,,N/A,
baomidou/mybatis-plus,,"MyBatis-Plus is a powerful and enhanced toolkit of MyBatis for simplifying development. It provides efficient, and out-of-the-box features (such as code generation, conditional query builders, pagination plugins...), effectively saving development time",,https://github.com/baomidou/mybatis-plus,,4.4k,,17.3k,,#7031,,"The DynamicTableNameInnerInterceptor poses a risk of context pollution, potentially leading to incorrect data writes",,2026.2.21,,N/A,,N/A,,N/A,
google/guice,,"Put simply, Guice alleviates the need for factories and the use of new in your Java code. Think of Guice's @Inject as the new new. You will still need to write factories in some cases, but your code will not depend directly on them. Your code will be easier to change, unit test and reuse in other contexts.

Guice embraces Java's type safe nature. You might think of Guice as filling in missing features for core Java. Ideally, the language itself would provide most of the same features, but until such a language comes along, we have Guice.

Guice helps you design better APIs, and the Guice API itself sets a good example. Guice is not a kitchen sink. We justify each feature with at least three use cases. When in doubt, we leave it out. We build general functionality which enables you to extend Guice rather than adding every feature to the core framework.

Guice aims to make development and debugging easier and faster, not harder and slower. In that vein, Guice steers clear of surprises and magic. You should be able to understand code with or without tools, though tools can make things even easier. When errors do occur, Guice goes the extra mile to generate helpful messages.

For an introduction to Guice and a comparison to new and the factory pattern, see Bob Lee's video presentation. After that, check out our user's guide.

We've been running Guice in mission critical applications since 2006, and now you can, too. We hope you enjoy it as much as we do.",,https://github.com/google/guice,,1.7k,,12.7k,,#1929,,[Bug] Memory Leak Risk in SingletonScope via Anonymous Provider (Implicit Outer Reference),,2026.2.21,,N/A,,N/A,,N/A,
google/allocation-instrumenter,,The Allocation Instrumenter is a Java agent written using the java.lang.instrument API and ASM. Each allocation in your Java program is instrumented; a user-defined callback is invoked on each allocation.,,https://github.com/google/allocation-instrumenter,,88,,489,,#60,,[Bug] Memory Leak via Unintended ThreadLocal (UTL) Misuse in ConstructorInstrumenter ,,2026.2.22,,N/A,,N/A,,N/A,
kabutz/javaspecialists,,"The Java Specialists' Newsletter Sources that contains classes from The Java Specialists' Newsletter

",,https://github.com/kabutz/javaspecialists,,33,,147,,#60,,[Bug] Potential Memory Leak (OOM Risk) via Unmanaged ThreadLocal in ScreenShot.java ,,2026.2.22,,N/A,,N/A,,N/A,
Nike-Inc/wingtips,,Wingtips is a distributed tracing solution for Java 7 and greater based on the Google Dapper paper.,,https://github.com/Nike-Inc/wingtips,,65,,332,,#141,,[Bug] Critical Context Pollution (Trace Leakage) via unmanaged ThreadLocal in Tracer.java,,2026.2.22,,N/A,,N/A,,N/A,
kofemann/vfs4j,,"This project implements a simple NFS (Network File System) server using the nfs4j library. It supports NFS versions 3 and 4.1, with optional pNFS (Parallel NFS) support. The server is backed by a local file system utilizing Linux's open-by-handle API called via Java 22 Foreign Function and Memory API.",,https://github.com/kofemann/vfs4j,,3,,13,,#8,,[Bug] Direct Memory Leak and Fragmentation caused by uncleaned ThreadLocal<ByteBuffer> in LocalVFS,,2026.2.22,,N/A,,N/A,,N/A,
graphql-java/java-dataloader,,"This small and simple utility library is a pure Java 11 port of Facebook DataLoader.

It can serve as integral part of your application's data layer to provide a consistent API over various back-ends and reduce message communication overhead through batching and caching.

An important use case for java-dataloader is improving the efficiency of GraphQL query execution. Graphql fields are resolved independently and, with a true graph of objects, you may be fetching the same object many times.

A naive implementation of graphql data fetchers can easily lead to the dreaded ""n+1"" fetch problem.

Most of the code is ported directly from Facebook's reference implementation, with one IMPORTANT adaptation to make it work for Java 11. (more on this below).

Before reading on, be sure to take a short dive into the original documentation provided by Lee Byron (@leebyron) and Nicholas Schrock (@schrockn) from Facebook, the creators of the original data loader.

",,https://github.com/graphql-java/java-dataloader,,97,,524,,#266,,[Bug] Memory Leak and Stats Pollution via unmanaged ThreadLocal in ThreadLocalStatisticsCollector ,,2026.2.22,,N/A,,N/A,,N/A,
alibaba/fastjson2,,"FASTJSON 2 is a high-performance JSON library for Java, designed as the next-generation successor to FASTJSON with a goal of providing an optimized JSON solution for the next ten years.",,https://github.com/alibaba/fastjson2,,554,,4.3k,,#3995,,There is an anti-pattern of ClassLoader Pinning in the Benchmark code involving the ThreadLocal class,,2026.2.22,,N/A,,N/A,,N/A,
alibaba/DataX,,"DataX 是阿里云 DataWorks数据集成 的开源版本，在阿里巴巴集团内被广泛使用的离线数据同步工具/平台。DataX 实现了包括 MySQL、Oracle、OceanBase、SqlServer、Postgre、HDFS、Hive、ADS、HBase、TableStore(OTS)、MaxCompute(ODPS)、Hologres、DRDS, databend 等各种异构数据源之间高效的数据同步功能。",,https://github.com/alibaba/DataX,,5.7k,,17.1k,,#2346,,[Bug] Critical OS Thread Leak (OOM) via unmanaged ThreadLocal<ExecutorService> in DBUtil.java,,2026.2.22,,N/A,,N/A,,N/A,
jobrunr/jobrunr,,jobrunr/jobrunr,,https://github.com/jobrunr/jobrunr,,311,,2.9k,,#1495,,[BUG] Context Pollution (Metadata Leakage) via unmanaged ThreadLocal in ThreadLocalJobContext,,2026.2.22,,N/A,,N/A,,N/A,
sumanentc/multitenant,,This is a Spring Boot multi-tenant sample application which supports all multiple-tenancy models. By default multi schema model is enabled.,,https://github.com/sumanentc/multitenant,,82,,122,,#13,,[BUG] Potential Tenant Identity Leak and Data Cross-Pollination via InheritableThreadLocal in TenantContext,,2026.3.2,,N/A,,N/A,,N/A,
shevek/parallelgzip,,"This library contains a parallelized GZIP implementation which is a high performance drop-in replacement for the standard java.util.zip classes. It is a pure Java equivalent of the pigz parallel compresssor.

The performance of ParallelGZIPOutputStream is excellent: it scales linearly with the number of cores, and spends 95% of all thread time in the native compression routines on 24 and c32-core Xeon systems.

ParallelGZIPOutputStream has exactly the same memory contract as GZIPOutputStream: it extends FilterOutputStream. If a single thread writes data into the compressor, it will write compressed data to the underlying output stream on the same thread without any externally visible synchronization or flush calls. The user never needs to know or change anything as a result of the parallelism.

Currently, ParallelGZIPInputStream is a subclass of the standard GZIPInputStream, but parallelism may be added in future.",,https://github.com/shevek/parallelgzip,,7,,59,,#13,,Severe Memory Leak (Heap & Off-Heap) via ThreadLocal in ParallelGZIPOutputStream,,2026.3.2,,N/A,,N/A,,N/A,
lmdbjava/lmdbjava,,lmdbjava/lmdbjava,,https://github.com/lmdbjava/lmdbjava,,126,,870,,#284,,[Bug]: Severe Direct Memory Leak via Unbounded ThreadLocal Queue in ByteBufferProxy,,2026.3.2,,N/A,,N/A,,N/A,
LWJGL/lwjgl3,,"The Lightweight Java Game Library (LWJGL) is a solution aimed directly at professional and amateur Java programmers alike to enable commercial quality games to be written in Java. LWJGL provides developers access to high performance crossplatform libraries such as OpenGL (Open Graphics Library), OpenCL (Open Computing Language) and OpenAL (Open Audio Library) allowing for state of the art 3D games and 3D sound. Additionally LWJGL provides access to controllers such as Gamepads, Steering wheel and Joysticks. All in a simple and straight forward API.",,https://github.com/LWJGL/lwjgl3,,215,,570,,#169,,[Bug]: Severe ClassLoader Pinning & Memory Leak via Unmanaged ThreadLocals in GLContext,,2026.3.2,,N/A,,N/A,,N/A,
h2database/h2database,,h2database/h2database,,https://github.com/h2database/h2database,,1.3k,,4.6k,,#4333,,[Bug]: Severe ClassLoader Pinning & Metaspace OOM via META_LOCK_DEBUGGING ThreadLocals,,2026.3.2,,N/A,,N/A,,N/A,
UniTime/unitime,,"UniTime is a comprehensive educational scheduling system that supports developing course and exam timetables, managing changes to these timetables, sharing rooms with other events, and scheduling students to individual classes. It is a distributed system that allows multiple university and departmental schedule managers to coordinate efforts to build and modify a schedule that meets their diverse organizational needs while allowing for minimization of student course conflicts. It can be used alone to create and maintain a school's schedule of classes and/or exams, or interfaced with an existing student information system.",,https://github.com/UniTime/unitime,,193,,331,,#220,,[Bug]: Severe Cross-Request Locale Pollution via Unmanaged ThreadLocals in Localization,,2026.3.2,,N/A,,N/A,,N/A,
